                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM   NON NON 00 NON 00 NON 00 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
Game 1 
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG   NON NON 00 NON 00 NON 00 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 --
TSR   NON NON 00 NON 00 NON 00 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 --
TSR   WRC NON 00 NON 00 NON 00 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 --
TSR   WRC NON 00 NON 00 NON 00 NON 00 NON 00   WRC NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 --
TSR   WRC NON 00 NON 00 NON 00 NON 00 NON 00   AST NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 --
TSR   AST NON 00 NON 00 NON 00 NON 00 NON 00   AST NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 --
WTC   AST NON 00 NON 00 NON 00 NON 00 NON 00   AST NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 00
WTC   AST SAB 16 NON 00 NON 00 NON 00 NON 00   AST NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 00
WTC   AST SAB 16 NON 00 SAB 18 NON 00 NON 00   AST NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - 01 00
WTC   AST SAB 16 NON 00 SAB 18 NON 00 NON 00   AST NON 00 NON 00 NON 00 NON 00 SAB 20 - - - . - - - 01 00
WTC   AST SAB 16 NON 00 SAB 18 SAB 18 NON 00   AST NON 00 NON 00 NON 00 NON 00 SAB 20 - - - . - - - 01 00
WTC   AST SAB 16 NON 00 SAB 18 SAB 18 SAB 15   AST NON 00 NON 00 NON 00 NON 00 SAB 20 - - - . - - - 01 --
WTC   AST SAB 16 NON 00 SAB 18 SAB 18 SAB 15   AST NON 00 SAB 19 NON 00 NON 00 SAB 20 - - - . - - - 01 --
WTC   AST SAB 16 NON 00 SAB 18 SAB 18 SAB 15   AST NON 00 SAB 19 SAB 14 NON 00 SAB 20 - - - . - - - 01 --
WTC   AST SAB 16 NON 00 SAB 18 SAB 18 SAB 15   AST SAB 12 SAB 19 SAB 14 NON 00 SAB 20 - - - . - - - 01 --
WTC   AST SAB 16 NON 00 SAB 18 SAB 18 SAB 15   AST SAB 12 SAB 19 SAB 14 SAB 14 SAB 20 - - - . - - - 01 --
WTC   AST SAB 16 SAB 19 SAB 18 SAB 18 SAB 15   AST SAB 12 SAB 19 SAB 14 SAB 14 SAB 20 - - - . - - - 01 --
WTC   AST SAB 16 SAB 19 SAB 18 SAB 18 SAB 15   AST SAB 12 SAB 19 SIP 14 SAB 14 SAB 20 - - - . 3 - - 01 --
WTC   AST SAB 16 SAB 19 SAB 18 SAB 18 SAB 15   AST SIP 12 SAB 19 SIP 14 SAB 14 SAB 20 - - - . 3 1 - 01 --
WTC   AST SIP 16 SAB 19 SAB 18 SAB 18 SAB 15   AST SIP 12 SAB 19 SIP 14 SAB 14 SAB 20 - - 1 . 3 1 - 01 --
WTC   AST SIP 16 SIP 19 SAB 18 SAB 18 SAB 15   AST SIP 12 SAB 19 SIP 14 SAB 14 SAB 20 - 2 1 . 3 1 - 01 --
WTC   WTR SIP 16 SIP 19 SAB 18 SAB 18 SAB 15   AST SIP 12 SAB 19 SIP 14 SAB 14 SAB 20 - 2 1 . 3 1 - 01 --
WTC   WTR SIP 16 SIP 19 SIP 18 SAB 18 SAB 15   AST SIP 12 SAB 19 SIP 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WTR DYB 16 SIP 19 SIP 18 SAB 18 SAB 15   AST SIP 12 SAB 19 SIP 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WTR DYB 16 SIP 19 SIP 18 SAB 18 SAB 15   AST DYB 12 SAB 19 SIP 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WTR DYB 16 SIP 19 SIP 18 SAB 18 SAB 15   AST DYB 12 SAB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WTR DYB 16 SIP 19 SIP 18 SAB 18 SAB 15   WTR DYB 12 SAB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WTR DYB 16 SIP 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 SAB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WTR DYB 16 SIP 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 SIP 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 SIP 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 DYB 19 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 2 01 --
WTC   WTR DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 SAB 18 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WRC DYB 16 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 SAB 18 DYB 14 SAB 14 SAB 20 3 2 1 . 3 1 - 01 --
WTC   WRC SAB 15 DYB 19 DYB 18 SAB 18 SAB 15   WTR DYB 12 SAB 18 DYB 14 SAB 14 SAB 20 3 2 - . 3 1 - 01 --
WTC   WRC SAB 15 SAB 18 DYB 18 SAB 18 SAB 15   WTR DYB 12 SAB 18 DYB 14 SAB 14 SAB 20 3 - - . 3 1 - 01 --
WTC   WRC SAB 15 SAB 18 DYB 18 SAB 18 SAB 15   WTR SAB 11 SAB 18 DYB 14 SAB 14 SAB 20 3 - - . 3 - - 01 --
WTC   WRC SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   WTR SAB 11 SAB 18 DYB 14 SAB 14 SAB 20 - - - . 3 - - 01 --
WTC   WRC SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   WTR SAB 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . - - - 01 --
WTC   WRC SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   WRC SAB 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . - - - 01 --
TSR   WRC SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   WRC SAB 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . - - - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   WRC SAB 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . - - - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   AST SAB 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . - - - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   AST SIP 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . 1 - - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   AST SIP 11 SIP 18 SAB 13 SAB 14 SAB 20 - - - . 1 2 - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SIP 16   AST SIP 11 SIP 18 SAB 13 SAB 14 SAB 20 - - 5 . 1 2 - 02 --
